time,open,high,low,close,volume
1602234000,10894.5,10894.5,10883.0,10883.5,2487253.0
1602234300,10883.5,10883.5,10880.0,10880.0,1421722.0
1602234600,10880.0,10880.5,10880.0,10880.0,766591.0
1602234900,10880.0,10880.5,10873.5,10874.0,1169629.0
1602235200,10874.0,10874.0,10871.5,10871.5,1272768.0
1602235500,10871.5,10872.0,10871.5,10871.5,122492.0
1602235800,10871.5,10872.0,10869.5,10870.0,1221006.0
1602236100,10870.0,10870.0,10866.0,10866.0,1798965.0
1602236400,10866.0,10875.5,10866.0,10875.0,2466705.0
1602236700,10875.0,10875.5,10872.5,10872.5,716028.0
1602237000,10872.5,10873.5,10872.5,10873.0,122432.0
1602237300,10873.0,10876.5,10873.0,10876.0,844470.0
1602237600,10876.0,10876.5,10873.0,10873.5,936931.0
1602237900,10873.5,10873.5,10873.0,10873.0,122249.0
1602238200,10873.0,10891.0,10873.0,10890.5,2538867.0
1602238500,10890.5,10892.0,10890.5,10891.5,531706.0
1602238800,10891.5,10899.0,10891.5,10899.0,1946273.0
1602239100,10899.0,10903.5,10890.0,10896.0,4934469.0
1602239400,10896.0,10896.5,10896.0,10896.5,167286.0
1602239700,10896.5,10915.0,10896.0,10914.5,4861367.0
1602240000,10914.5,11102.5,10914.5,10986.5,65350190.0
1602240300,10986.5,10993.5,10967.0,10973.0,15043140.0
1602240600,10973.0,10987.5,10973.0,10987.5,7324870.0
1602240900,10987.5,10987.5,10977.0,10987.0,5770330.0
1602241200,10987.0,11050.0,10987.0,11042.0,25001806.0
1602241500,11042.0,11064.5,11032.5,11046.5,19867570.0
1602241800,11046.5,11054.5,11043.0,11043.5,8618112.0
1602242100,11043.5,11058.5,11042.0,11045.0,12811509.0
1602242400,11045.0,11082.0,11038.5,11081.5,12156036.0
1602242700,11081.5,11102.5,11061.0,11068.0,24240422.0
1602243000,11068.0,11075.0,11060.0,11063.0,7817355.0
1602243300,11063.0,11066.5,11058.5,11058.5,2045681.0
1602243600,11058.5,11064.0,11058.5,11060.5,2462632.0
1602243900,11060.5,11070.0,11031.0,11039.0,10194040.0
1602244200,11039.0,11050.0,11038.5,11047.0,6744471.0
1602244500,11047.0,11052.0,11047.0,11051.5,2565856.0
1602244800,11051.5,11062.5,11049.5,11057.5,4151791.0
1602245100,11057.5,11058.0,11045.5,11045.5,1966360.0
1602245400,11045.5,11052.0,11045.5,11052.0,2595072.0
